condition_key,fold,seed,method,removal_fraction,removal_label,n_removed,auc,accuracy,baseline_auc_same_fold_seed,delta_auc_vs_baseline,checkpoint_sha256,fixed_epoch,epochs_executed,runtime_seconds,ranking_scope,outer_test_used_for_ranking_or_training,retrained_baseline_max_abs_error_vs_checkpoint,ranking_sha256,condition_status,attribution_auc,random_auc,paired_difference
fold07__seed44__gradient_x_input__10pct,7,44,gradient_x_input,0.1,10%,498,0.709895833333,0.636363636364,0.734375,-0.0244791666667,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,80,80,58.2967259884,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.709895833333,0.7640625,-0.0541666666667
fold07__seed44__integrated_gradients__10pct,7,44,integrated_gradients,0.1,10%,498,0.741666666667,0.647727272727,0.734375,0.00729166666667,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,80,80,51.3559508324,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.741666666667,0.7640625,-0.0223958333333
fold07__seed44__random__10pct,7,44,random,0.1,10%,498,0.7640625,0.670454545455,0.734375,0.0296875,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,80,80,57.8870739937,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold08__seed42__unmodified_baseline__baseline,8,42,unmodified_baseline,,0%,0,0.8015625,0.715909090909,0.8015625,0,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,55,55,29.3285753727,not_applicable,False,6.00565344122e-07,,COMPLETE,,,
fold08__seed42__gradient_x_input__5pct,8,42,gradient_x_input,0.05,5%,249,0.706770833333,0.602272727273,0.8015625,-0.0947916666667,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,55,55,33.3280973434,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,7c748cc3a3bf759de368c765c718c8b257d64e82ce1854c2d2c89a40a869b6d8,COMPLETE,0.706770833333,0.724479166667,-0.0177083333333
fold08__seed42__integrated_gradients__5pct,8,42,integrated_gradients,0.05,5%,249,0.821875,0.75,0.8015625,0.0203125,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,55,55,31.7790846825,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,7c748cc3a3bf759de368c765c718c8b257d64e82ce1854c2d2c89a40a869b6d8,COMPLETE,0.821875,0.724479166667,0.0973958333333
fold08__seed42__random__5pct,8,42,random,0.05,5%,249,0.724479166667,0.738636363636,0.8015625,-0.0770833333333,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,55,55,28.1983737946,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold08__seed42__gradient_x_input__10pct,8,42,gradient_x_input,0.1,10%,498,0.758333333333,0.727272727273,0.8015625,-0.0432291666667,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,55,55,30.324901104,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,7c748cc3a3bf759de368c765c718c8b257d64e82ce1854c2d2c89a40a869b6d8,COMPLETE,0.758333333333,0.817708333333,-0.059375
fold08__seed42__integrated_gradients__10pct,8,42,integrated_gradients,0.1,10%,498,0.753645833333,0.727272727273,0.8015625,-0.0479166666667,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,55,55,33.1934418678,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,7c748cc3a3bf759de368c765c718c8b257d64e82ce1854c2d2c89a40a869b6d8,COMPLETE,0.753645833333,0.817708333333,-0.0640625
fold08__seed42__random__10pct,8,42,random,0.1,10%,498,0.817708333333,0.738636363636,0.8015625,0.0161458333333,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,55,55,29.7471063137,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold08__seed43__unmodified_baseline__baseline,8,43,unmodified_baseline,,0%,0,0.78125,0.704545454545,0.78125,0,2e0f775e8fc79bae1890ad3025f20deb84984aaec3abfc2ace41fee7c013985f,90,90,46.8303725719,not_applicable,False,1.28414704398e-07,,COMPLETE,,,
fold08__seed43__gradient_x_input__5pct,8,43,gradient_x_input,0.05,5%,249,0.78125,0.727272727273,0.78125,0,2e0f775e8fc79bae1890ad3025f20deb84984aaec3abfc2ace41fee7c013985f,90,90,54.3442149162,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,7c748cc3a3bf759de368c765c718c8b257d64e82ce1854c2d2c89a40a869b6d8,COMPLETE,0.78125,0.800520833333,-0.0192708333333
fold08__seed43__integrated_gradients__5pct,8,43,integrated_gradients,0.05,5%,249,0.7703125,0.727272727273,0.78125,-0.0109375,2e0f775e8fc79bae1890ad3025f20deb84984aaec3abfc2ace41fee7c013985f,90,90,45.3349072933,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,7c748cc3a3bf759de368c765c718c8b257d64e82ce1854c2d2c89a40a869b6d8,COMPLETE,0.7703125,0.800520833333,-0.0302083333333
fold08__seed43__random__5pct,8,43,random,0.05,5%,249,0.800520833333,0.704545454545,0.78125,0.0192708333333,2e0f775e8fc79bae1890ad3025f20deb84984aaec3abfc2ace41fee7c013985f,90,90,51.7434678078,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
